Year,Age of Car,Brand,Model,Car Name,Kilometer,Fuel,Price,Transmission,Location,Engine
2015,9,Toyota,Agya,Agya.0L AT,58000,Bensin,50000000,Automatic,Ketapang,1197
2017,7,Toyota,Agya,Agya TRD 1.0L MT,50000,Bensin,50000000,Manual,Surabaya,1197
2018,6,Toyota,Rush,Rush.5L MT,3285,Bensin,50000000,Manual,Jakarta Pusat,1496
2016,8,Daihatsu,Terios,Terios X MT,28240,Bensin,50000000,Automatic,Semarang,1496
2020,4,Daihatsu,Ayla,Ayla 1.0L D MT,57268,Bensin,50000000,Automatic,Bekasi,998
2017,7,Daihatsu,Ayla,Ayla 1.0L X AT,34000,Bensin,50000000,Automatic,Jakarta Selatan,998
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32179,Bensin,50000000,Manual,Pati,1198
2016,8,Toyota,Calya,Calya G MT,40000,Bensin,50000000,Manual,Semarang,1197
2016,8,Toyota,Calya,Calya G MT,28430,Bensin,50000000,Manual,Kupang,1197
2021,3,Toyota,Calya,Calya G AT,5000,Bensin,50000000,CVT,Palembang,1197
2015,9,Honda,Brio,Brio  E AT,44000,Bensin,50000000,CVT,Bekasi,1198
2017,7,Honda,Brio,Brio Satya E,55000,Bensin,50000000,CVT,Palembang,1199
2018,6,Honda,Brio,Brio RS CVT,30000,Bensin,50000000,Manual,Surabaya,1199
2018,6,Honda,Brio,Brio RS 1.2L AT,50000,Bensin,50000000,Manual,Surabaya,1199
2016,8,Honda,Brio,Brio i-VTEC E 1.2L AT,27380,Bensin,50000000,Automatic,Medan,1199
2019,5,Daihatsu,Sigra,Sigra 1.2 R MT,23710,Bensin,50000000,Manual,Medan,1197
2020,4,Daihatsu,Sigra,Sigra 1.2 R MT,42000,Bensin,50000000,Manual,Yogyakarta,1197
2016,8,Daihatsu,Sigra,Sigra 1.2 R MT,35000,Bensin,50000000,Manual,Denpasar,1197
2018,6,Daihatsu,Sigra,Sigra 1.2 X MT,90000,Bensin,50000000,Manual,Manado,1197
2014,10,Toyota,Agya,Agya TRD 1.0L MT,70000,Bensin,50500000,Automatic,Medan,1197
2013,11,Suzuki,Ertiga,Ertiga GX 1.4L MT,101000,Bensin,51000000,Manual,Banda Aceh,1462
2015,9,Toyota,Avanza,Avanza 1.3E MT,145508,Bensin,51000000,Manual,Denpasar,1329
2015,9,Toyota,Avanza,Avanza 1.3E MT,145508,Bensin,51000000,Manual,Denpasar,1329
2012,12,Honda,Jazz,JazzS CVT,65245,Bensin,51000000,CVT,Banyuwangi,1497
2012,12,Honda,Jazz,JazzS CVT,62528,Bensin,51000000,CVT,Batam,1497
2012,12,Honda,Jazz,JazzS CVT,52102,Bensin,51000000,CVT,Semarang,1497
2012,12,Honda,Jazz,JazzS CVT,57258,Bensin,51000000,CVT,Palembang,1497
2012,12,Honda,Jazz,Jazz  1.5L RS AT,57285,Bensin,51000000,Automatic,Palembang,1497
2012,12,Honda,Jazz,JazzS CVT,57852,Bensin,51000000,Automatic,Bandar Lampung,1497
2019,5,Toyota,Agya,Agya.2L G AT TRD,20000,Bensin,51000000,Automatic,Semarang,1197
2018,6,Daihatsu,Ayla,Ayla 1.0L X AT,73036,Bensin,51000000,Automatic,Pekanbaru,998
2021,3,Daihatsu,Ayla,Ayla 1.0L X AT,30000,Bensin,51000000,Manual,Lamandau,998
2017,7,Honda,Brio,Brio Satya E CVT,45000,Bensin,51000000,CVT,Jakarta Selatan,1199
2017,7,Suzuki,Ertiga,Ertiga GX 1.4L MT,22000,Bensin,52000000,Manual,Denpasar,1462
2017,7,Suzuki,Ertiga,Ertiga GX 1.4L AT,41000,Bensin,52000000,Automatic,Banjarbaru,1462
2009,15,Toyota,Yaris,Yaris  S Limited AT,102789,Bensin,52000000,Automatic,Yogyakarta,1497
2011,13,Toyota,Yaris,Yaris S TRD 1.5L AT,55000,Bensin,52000000,Automatic,Jakarta Selatan,1497
2007,17,Toyota,Yaris,Yaris E 1.5L AT,91245,Bensin,52000000,Automatic,Semarang,1497
2015,9,Toyota,Avanza,Avanza 1.5G MT,52631,Bensin,52000000,Manual,Yogyakarta,1496
2015,9,Toyota,Avanza,Avanza 1.5G MT,52631,Bensin,52000000,Manual,Yogyakarta,1496
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,52000000,Manual,Padang,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,52000000,Manual,Padang,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,82415,Bensin,52000000,Manual,Semarang,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,81247,Bensin,52000000,Manual,Semarang,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,82415,Bensin,52000000,Manual,Semarang,1329
2010,14,Toyota,Avanza,Avanza G 1.3L MT,81247,Bensin,52000000,Manual,Semarang,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,52000000,Manual,Semarang,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,64728,Bensin,52000000,Manual,Semarang,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,64371,Bensin,52000000,Manual,Semarang,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,52000000,Automatic,Semarang,1329
2011,13,Toyota,Avanza,Avanza VVTI S 1.5L AT,64728,Bensin,52000000,Manual,Semarang,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,64371,Bensin,52000000,Automatic,Semarang,1329
2009,15,Honda,Jazz,Jazz  1.5L RS AT,67124,Bensin,52000000,Automatic,Padang,1497
2018,6,Honda,Jazz,JazzS CVT,20000,Bensin,52000000,Manual,Denpasar,1497
2017,7,Toyota,Agya,Agya.2L G AT,40256,Bensin,52000000,Automatic,Jember,1197
2017,7,Toyota,Agya,Agya.2L G AT TRD,24000,Bensin,52000000,Automatic,Padang,1197
2018,6,Toyota,Agya,Agya.2L G AT TRD,48000,Bensin,52000000,Automatic,Medan,1197
2017,7,Toyota,Agya,Agya TRD 1.0L MT,40000,Bensin,52000000,Manual,Pontianak,1197
2010,14,Toyota,Rush,Rush.5L AT,86985,Bensin,52000000,Automatic,Balikpapan,1496
2019,5,Toyota,Rush,Rush TRD SPORTIVO 1.5L AT,45000,Bensin,52000000,Automatic,Bekasi,1496
2015,9,Toyota,Rush,Rush TRD SPORTIVO 1.5L AT,10000,Bensin,52000000,Manual,Denpasar,1496
2013,11,Toyota,Rush,Rush.5L AT,50000,Bensin,52000000,Automatic,Semarang,1496
2017,7,Daihatsu,Terios,Terios R AT,57000,Bensin,52000000,Manual,Surabaya,1496
2011,13,Daihatsu,Terios,Terios TX ADVENTURE 1.5L MT,95000,Bensin,52000000,Manual,Bandung,1496
2016,8,Toyota,Calya,Calya G AT,24000,Bensin,52000000,Automatic,Medan,1197
2018,6,Honda,Brio,Brio Satya E CVT,50000,Bensin,52000000,Manual,Bekasi,1199
2019,5,Honda,Brio,Brio i-VTEC E 1.2L AT,50000,Bensin,52000000,Automatic,Denpasar,1199
2014,10,Honda,Brio,Brio E 1.3L MT,27000,Bensin,52000000,Manual,Jambi,1199
2018,6,Daihatsu,Sigra,Sigra 1.0 D MT,38000,Bensin,52000000,Manual,Banyu Asin,998
2009,15,Honda,CR-V,CR-V  2.0L AT PRESTIGE,135000,Bensin,52300000,Automatic,Surabaya,1498
2012,12,Toyota,Yaris,Yaris E 1.5L MT,60000,Bensin,53000000,Automatic,Surabaya,1497
2012,12,Toyota,Yaris,Yaris E 1.5L MT,60000,Bensin,53000000,Automatic,Surabaya,1497
2013,11,Toyota,Avanza,Avanza 1.5G MT,75175,Bensin,53000000,Manual,Semarang,1496
2013,11,Toyota,Avanza,Avanza 1.5G MT,75175,Bensin,53000000,CVT,Semarang,1496
2005,19,Honda,Jazz,Jazz  IDSI AT,105000,Bensin,53000000,CVT,Jakarta Selatan,1497
2005,19,Honda,Jazz,Jazz  IDSI AT,260000,Bensin,53000000,Automatic,Bireuen,1497
2005,19,Honda,Jazz,Jazz  IDSI AT,120600,Bensin,53000000,CVT,Bogor,1497
2016,8,Daihatsu,Xenia,Xenia 1.5 R MT,28480,Bensin,53000000,Manual,Surabaya,1498
2017,7,Toyota,Agya,Agya.0L G MT,55000,Bensin,53000000,Automatic,Depok,998
2017,7,Toyota,Agya,Agya TRD 1.0L AT,49000,Bensin,53000000,Manual,Palembang,1197
2020,4,Honda,Brio,Brio 1.2L S AT,34952,Bensin,53000000,Automatic,Bandung,1199
2018,6,Honda,Brio,Brio 1.2L S MT,31827,Bensin,53000000,Automatic,Jakarta Selatan,1199
2017,7,Daihatsu,Sigra,Sigra 1.2 R DLX MT,67000,Bensin,53000000,Manual,Denpasar,1197
2019,5,Toyota,Agya,Agya.2L G AT TRD,30000,Bensin,53700000,Automatic,Palangka Raya,1197
2011,13,Suzuki,Ertiga,Ertiga GL MT,76275,Bensin,54000000,Manual,Serang,1400
2014,10,Suzuki,Ertiga,Ertiga GL 1.4L MT,63217,Bensin,54000000,Manual,Pekanbaru,1462
2013,11,Suzuki,Ertiga,Ertiga GL 1.4L MT,84000,Bensin,54000000,Manual,Denpasar,1462
2016,8,Toyota,Yaris,Yaris TRD SPORTIVO 1.5L CVT,32179,Bensin,54000000,Automatic,Jakarta Selatan,1497
2006,18,Toyota,Yaris,Yaris S TRD 1.5L AT,24845,Bensin,54000000,Automatic,Bogor,1497
2012,12,Toyota,Yaris,Yaris  S LIMITED AUTOMATIC TDR,62129,Bensin,54000000,Automatic,Denpasar,1497
2009,15,Toyota,Yaris,Yaris TRD SPORTIVO 1.5L MT,32175,Bensin,54000000,CVT,Bandar Lampung,1497
2009,15,Toyota,Yaris,Yaris TRD SPORTIVO 1.5L MT,32175,Bensin,54000000,Manual,Bandung,1497
2016,8,Toyota,Yaris,Yaris Heykers 1.5L AT,2547,Bensin,54000000,Automatic,Pekanbaru,1497
2016,8,Toyota,Yaris,Yaris Heykers 1.5L AT,2547,Bensin,54000000,Automatic,Pekanbaru,1497
2010,14,Toyota,Avanza,Avanza G 1.5L MT,39897,Bensin,54000000,Manual,Blitar,1329
2010,14,Toyota,Avanza,Avanza G 1.5L MT,39897,Bensin,54000000,Manual,Blitar,1329
2009,15,Honda,Jazz,JazzS MT,135587,Bensin,54000000,Manual,Bengkulu,1497
2016,8,Toyota,Agya,Agya TRD 1.0L MT,36598,Bensin,54000000,Automatic,Bekasi,1197
2014,10,Toyota,Agya,Agya.2L G AT TRD,43215,Bensin,54000000,Automatic,Bekasi,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32189,Bensin,54000000,Manual,Jakarta Selatan,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32179,Bensin,54000000,Automatic,Semarang,1197
2014,10,Toyota,Agya,Agya TRD 1.0L AT,40000,Bensin,54000000,Automatic,Bandung,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32986,Bensin,54000000,Automatic,Pekanbaru,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32978,Bensin,54000000,Automatic,Denpasar,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32198,Bensin,54000000,Manual,Bandar Lampung,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,36598,Bensin,54000000,Automatic,Tangerang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32984,Bensin,54000000,Automatic,Surabaya,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,36598,Bensin,54000000,Manual,Batam,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32179,Bensin,54000000,Automatic,Banyuwangi,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32198,Bensin,54000000,Automatic,Serang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32179,Bensin,54000000,Manual,Padang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32897,Bensin,54000000,Manual,Semarang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32597,Bensin,54000000,Automatic,Yogyakarta,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,36598,Bensin,54000000,Automatic,Medan,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32897,Bensin,54000000,Manual,Semarang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32175,Bensin,54000000,Automatic,Indramayu,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,34521,Bensin,54000000,Automatic,Denpasar,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32899,Bensin,54000000,Automatic,Denpasar,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,39899,Bensin,54000000,Manual,Batam,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32898,Bensin,54000000,Manual,Bandar Lampung,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32179,Bensin,54000000,Manual,Batam,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32179,Bensin,54000000,Automatic,Pekanbaru,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32175,Bensin,54000000,Manual,Batam,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32175,Bensin,54000000,Automatic,Pekanbaru,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32175,Bensin,54000000,Manual,Pati,1197
2016,8,Toyota,Agya,Agya.2L G AT TRD,35217,Bensin,54000000,Manual,Padang,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,35217,Bensin,54000000,Manual,Bekasi,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32175,Bensin,54000000,Automatic,Banda Aceh,1197
2016,8,Toyota,Agya,Agya TRD 1.0L AT,32172,Bensin,54000000,Manual,Balikpapan,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32652,Bensin,54000000,Manual,Jakarta Selatan,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32157,Bensin,54000000,Manual,Yogyakarta,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32171,Bensin,54000000,Automatic,Jember,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,32987,Bensin,54000000,Automatic,Surabaya,1197
2016,8,Toyota,Agya,Agya TRD 1.0L MT,35287,Bensin,54000000,Automatic,Surakarta,1197
2016,8,Daihatsu,Terios,Terios R MT,43215,Bensin,54000000,Automatic,Jakarta Selatan,1496
2016,8,Daihatsu,Ayla,Ayla 1.0L X MT DLX,28645,Bensin,54000000,Automatic,Sukabumi,998
2016,8,Daihatsu,Ayla,Ayla 1.0L X MT,44000,Bensin,54000000,Automatic,Malang,998
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32986,Bensin,54000000,Manual,Semarang,1198
2018,6,Daihatsu,Ayla,Ayla 1.2L R MT,32986,Bensin,54000000,Automatic,Surabaya,1198
2016,8,Honda,Brio,Brio Satya E MT,32896,Bensin,54000000,Manual,Banjarmasin,1199
2016,8,Honda,Brio,Brio Satya E,68000,Bensin,54000000,Manual,Palembang,1199
2015,9,Honda,Brio,Brio Satya E,25000,Bensin,54000000,Manual,Bandung,1199
2016,8,Daihatsu,Sigra,Sigra 1.2 X MT,67347,Bensin,54000000,Manual,Semarang,1197
2015,9,Toyota,Agya,Agya.0L G AT,47000,Bensin,54400000,Automatic,Magelang,998
2017,7,Suzuki,Ertiga,Ertiga GX 1.4L MT,27000,Bensin,55000000,Manual,Surabaya,1462
2007,17,Toyota,Yaris,Yaris Heykers 1.5L AT,94271,Bensin,55000000,Automatic,Bandar Lampung,1497
2015,9,Toyota,Avanza,Avanza 1.3E MT,145508,Bensin,55000000,Manual,Banda Aceh,1329
2015,9,Toyota,Avanza,Avanza 1.3E MT,145508,Bensin,55000000,Manual,Banda Aceh,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,55000000,Manual,Jember,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,55000000,Manual,Yogyakarta,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,55000000,Manual,Jember,1329
2015,9,Toyota,Avanza,Avanza E 1.3L MT,145508,Bensin,55000000,Manual,Yogyakarta,1329
